feature,attribution,uncertainty
Directional_Magnitude_R,0.49344050329076994,0.0024477695652088656
Ratio_World_Gaze_Direction_Z,0.49298996321124605,0.003925313118769502
Directional_Magnitude_Ratio,0.49221269034776044,0.00719797103396885
Ratio_Directional_Magnitude,0.49057990159051607,0.003993583472523184
Normalized_Vergence_Angle,0.4904598804442432,0.004225733544047231
Delta_Gaze_X,0.48991382165467146,0.005170807771966124
Delta_Gaze_Y,0.4896497823643594,0.004503727814589389
Gaze_Vector_Angle,0.4893012346433708,0.004225733544047231
Directional_Magnitude_R,0.48925701060092164,0.0022535958753182725
Directional_Magnitude_L,0.48910284603570614,0.004006383247245401
Ratio_Delta_Gaze_XY,0.48880560828221226,0.00719797103396885
Gaze_Direction_Angle,0.4883843195620096,0.004029082116671015
Directional_Magnitude_R,0.4882054762004512,0.004503727814589389
Angular_Difference_Gaze_Directions,0.4880653329386216,0.00719797103396885
Ratio_Delta_Gaze_XY,0.48790197943511854,0.003925313118769502
Relative_Change_Vergence_Angle,0.4866980181249698,0.005352800588583707
Directional_Magnitude_Ratio,0.4862140239258584,0.0031481271499078003
Ratio_World_Gaze_Direction_Z,0.48618019569056603,0.00719797103396885
Gaze_Direction_Y_Ratio,0.48608399835714483,0.005241352187508085
Ratio_World_Gaze_Direction_Y,0.4859819698349493,0.001759808070311745
Angular_Difference_X,0.4859684842629019,0.0018110088625367439
World_Gaze_Direction_R_Z,0.48595899675929,0.005170807771966124
World_Gaze_Direction_R_Z,0.4856383757977311,0.009852814501285313
Velocity_Gaze_Direction_R_X,0.4854975277641605,0.001759808070311745
Gaze_Direction_Y_Ratio,0.48507913135463676,0.005352800588583707
Normalized_Vergence_Angle,0.48486016787129593,0.0025582141793772497
Directional_Magnitude_L,0.48457685215817403,0.0025582141793772497
Ratio_World_Gaze_Direction_Y,0.48332441208390103,0.004385247930892375
World_Gaze_Direction_R_X,0.48308317353742164,0.001759808070311745
Gaze_Direction_Y_Ratio,0.4821758350045948,0.0025310292106994815
Velocity_Gaze_Direction_R_X,0.4821562594018529,0.009852814501285313
Ratio_Delta_Gaze_XY,0.4817573900324896,0.005170807771966124
Delta_Gaze_X,0.4815084350470765,0.004225733544047231
Directional_Magnitude_L,0.4813033846093453,0.0037555523461824383
Vergence_Depth,0.4810693787758062,0.004225733544047231
Relative_Change_Vergence_Angle,0.48076979934866915,0.005352800588583707
Velocity_Gaze_Direction_R_X,0.48074760733733257,0.0024477695652088656
Ratio_Directional_Magnitude,0.4804561666038559,0.0018110088625367439
Ratio_World_Gaze_Direction_Z,0.4804221438199684,0.009852814501285313
Vergence_Depth,0.48034506906072644,0.0031481271499078003
Normalized_Vergence_Angle,0.48014166101007477,0.0025310292106994815
Gaze_Direction_Y_Ratio,0.47912214528563773,0.004181173501475773
Gaze_Vector_Angle,0.478830655895017,0.004503727814589389
Gaze_Point_Depth_Difference,0.4784939814720618,0.0018110088625367439
Delta_Gaze_Z,0.4783573963376111,0.003925313118769502
Gaze_Vector_Angle,0.4775685736582954,0.005170807771966124
Delta_Gaze_Y,0.4775164284820716,0.0023459639886547097
Gaze_Direction_X_Ratio,0.4774616402044857,0.005352800588583707
Delta_Gaze_Y,0.47735321748932596,0.003246120263004547
Gaze_Direction_Z_Ratio,0.4770912340337673,0.005241352187508085
Angular_Difference_X,0.47590817059378204,0.001759808070311745
Gaze_Direction_X_Ratio,0.4757213614345959,0.003993583472523184
Gaze_Direction_Y_Ratio,0.47541240430134035,0.004225733544047231
Ratio_World_Gaze_Direction_Z,0.47526743970582824,0.004385247930892375
Gaze_Direction_Y_Ratio,0.4749636903399382,0.003246120263004547
Gaze_Direction_Angle,0.4745370490585969,0.0018110088625367439
